danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,names
0.823,0.829,-5.524,0.292,0.392,0,0.543,0.6,80.538,21LCotDEwR7R8qOnqPVzi9,230358,Evil
0.808,0.705,-5.332,0.298,0.368,0,0.907,0.656,119.977,77pfjsq0gSZwO8bYVTVROo,206649,Brand New Dance
0.963,0.643,-5.785,0.117,0.0507,4.94e-05,0.157,0.534,107.005,0fGh0trRN1xz3s41r7V5ce,274440,Shake That
0.937,0.615,-6.521,0.061,0.0806,0,0.0602,0.771,104.482,2WXUcFnJPPATncUkPYC54v,283693,The Real Slim Shady
0.562,0.901,-4.166,0.443,0.0695,0,0.229,0.241,199.226,55u5QIlEuzCipJBtZPdJio,98153,Renaissance
0.773,0.597,-7.138,0.309,0.194,0,0.22,0.305,160.101,4qmG24ebshLXtKu9HIShBP,217527,Lace It (with Eminem & benny blanco)
0.667,0.66,-9.054,0.148,0.263,0,0.145,0.216,139.117,1ymWIr4E5x6xORlDO0bXlP,284904,Tobey (feat. Big Sean and BabyTron)
0.849,0.704,-6.036,0.207,0.0592,0,0.0965,0.0978,137.999,2By3Bbd6UYQqdhLnkMHZb6,290422,Fuel (feat. WESTSIDE BOOGIE & GRIP) - Shady Edition
0.893,0.651,-8.647,0.367,0.0995,0,0.371,0.6,105.835,1jo3TwNGCXfNdB5uba3ZVv,253580,Killshot
0.73,0.785,-7.986,0.243,0.105,0,0.0445,0.596,82.037,7My9ca9QEIR8MvIOdIrTWA,215120,From The D 2 The LBC (with Snoop Dogg)
0.847,0.692,-6.022,0.206,0.064,0,0.0966,0.101,137.997,68IkI6ttYOzNyS5iW2Zx70,290422,Fuel - Shady Edition
0.936,0.887,-2.76,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003,2HYFX63wP3otVIvopRS99Z,227239,TEXAS HOLD 'EM
0.908,0.669,-2.827,0.0738,0.00286,0,0.237,0.662,112.238,7lQ8MOhq6IN2w8EYcFNSUk,290320,Crazy In Love (feat. Jay-Z)
0.637,0.678,-3.798,0.266,0.209,0,0.156,0.254,84.039,561jH07mF1jHuk7KlaeF0s,250760,Halo
0.548,0.847,-3.237,0.186,0.0622,0,0.0816,0.1,171.447,4xkOaSrkexMciUUogZKVTS,297787,Beyonce
0.949,0.661,-4.244,0.0572,0.0302,0,0.0454,0.76,104.504,3yfqSUWxFvZELEM4PmlwIR,284200,Hässlich
0.885,0.662,-5.139,0.142,0.121,0,0.109,0.117,137.981,5In8B6Om5OKrhwBMB4tXSi,213646,Naughty Girl
0.808,0.745,-5.26,0.342,0.145,0,0.292,0.829,165.995,7FIWs0pqAYbP91WWM0vlTQ,210800,Baby Boy (feat. Sean Paul)
0.939,0.741,-5.171,0.0471,0.323,0,0.107,0.925,118.978,2kQuhkFX7uSVepCD3h29g5,212360,Run the World (Girls)
0.802,0.755,-3.138,0.0564,0.0215,0,0.295,0.58,130.027,4woTEX1wYOTGDqNXuavlRC,350320,TEXAS HOLD 'EM
