,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id,names
36,0.889,0.512,-6.936,0.209,0.128,0.0,0.267,0.245,130.009,148547,5,5shgHEo8Zgm94sjr6BYTUq,GTA
37,0.824,0.878,-5.02,0.273,0.169,0.0,0.369,0.645,100.005,298385,1,7I3RalBqE7ZE0RSxgGlGlm,Habits
38,0.921,0.881,-2.753,0.067,0.0283,5.71e-06,0.0595,0.914,127.018,227239,2,6vw2M02LT3otGUoK4ZqHwx,Houdini
39,0.823,0.829,-5.524,0.292,0.392,0.0,0.543,0.6,80.538,230358,2,21LCotDEwR7R8qOnqPVzi9,Evil
40,0.808,0.705,-5.332,0.298,0.368,0.0,0.907,0.656,119.977,206649,0,77pfjsq0gSZwO8bYVTVROo,Brand New Dance
41,0.963,0.643,-5.785,0.117,0.0507,4.94e-05,0.157,0.534,107.005,274440,1,0fGh0trRN1xz3s41r7V5ce,Shake That
42,0.937,0.615,-6.521,0.061,0.0806,0.0,0.0602,0.771,104.482,283693,1,2WXUcFnJPPATncUkPYC54v,The Real Slim Shady
43,0.562,0.901,-4.166,0.443,0.0695,0.0,0.229,0.241,199.226,98153,4,55u5QIlEuzCipJBtZPdJio,Renaissance
44,0.773,0.597,-7.138,0.309,0.194,0.0,0.22,0.305,160.101,217527,2,4qmG24ebshLXtKu9HIShBP,Lace It (with Eminem & benny blanco)
45,0.667,0.66,-9.054,0.148,0.263,0.0,0.145,0.216,139.117,284904,1,1ymWIr4E5x6xORlDO0bXlP,Tobey (feat. Big Sean and BabyTron)
46,0.849,0.704,-6.036,0.207,0.0592,0.0,0.0965,0.0978,137.999,290422,1,2By3Bbd6UYQqdhLnkMHZb6,Fuel (feat. WESTSIDE BOOGIE & GRIP) - Shady Edition
47,0.893,0.651,-8.647,0.367,0.0995,0.0,0.371,0.6,105.835,253580,2,1jo3TwNGCXfNdB5uba3ZVv,Killshot
48,0.73,0.785,-7.986,0.243,0.105,0.0,0.0445,0.596,82.037,215120,2,7My9ca9QEIR8MvIOdIrTWA,From The D 2 The LBC (with Snoop Dogg)
49,0.847,0.692,-6.022,0.206,0.064,0.0,0.0966,0.101,137.997,290422,1,68IkI6ttYOzNyS5iW2Zx70,Fuel - Shady Edition
50,0.936,0.887,-2.76,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003,227239,2,2HYFX63wP3otVIvopRS99Z,TEXAS HOLD 'EM
51,0.908,0.669,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,290320,1,7lQ8MOhq6IN2w8EYcFNSUk,Crazy In Love (feat. Jay-Z)
52,0.637,0.678,-3.798,0.266,0.209,0.0,0.156,0.254,84.039,250760,2,561jH07mF1jHuk7KlaeF0s,Halo
53,0.548,0.847,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447,297787,1,4xkOaSrkexMciUUogZKVTS,Beyonce
54,0.949,0.661,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200,1,3yfqSUWxFvZELEM4PmlwIR,Hässlich
55,0.885,0.662,-5.139,0.142,0.121,0.0,0.109,0.117,137.981,213646,2,5In8B6Om5OKrhwBMB4tXSi,Naughty Girl
56,0.808,0.745,-5.26,0.342,0.145,0.0,0.292,0.829,165.995,210800,0,7FIWs0pqAYbP91WWM0vlTQ,Baby Boy (feat. Sean Paul)
57,0.939,0.741,-5.171,0.0471,0.323,0.0,0.107,0.925,118.978,212360,0,2kQuhkFX7uSVepCD3h29g5,Run the World (Girls)
58,0.802,0.755,-3.138,0.0564,0.0215,0.0,0.295,0.58,130.027,350320,1,4woTEX1wYOTGDqNXuavlRC,TEXAS HOLD 'EM
59,0.78,0.768,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063,404107,3,3UmaczJpikHgJFyBTAJVoz,CUFF IT
60,0.855,0.954,-1.19,0.264,0.529,0.0,0.205,0.668,114.635,248133,2,7Ie9W94M7OjPoZVV216Xus,Single Ladies (Put a Ring on It)
61,0.709,0.843,-2.66,0.314,0.395,0.0,0.799,0.625,148.134,363521,1,6or1bKJiZ06IlK0vFvY75k,Monsta
62,0.749,0.925,-5.034,0.227,0.241,0.0,0.52,0.641,86.989,263373,2,15JINEqzVMv3SvJTAXAKED,Beautiful Liar
63,0.689,0.735,-4.545,0.267,0.00922,0.00072,0.365,0.059,171.403,320627,1,7MJQ9Nfxzh8LPZ9e9u68Fq,Haunted
64,0.686,0.735,-4.616,0.264,0.00921,0.00066,0.342,0.0596,171.355,322227,1,1v7L65Lzy0j0vdpRjJewt1,Deja Vu (feat. Jay-Z)
65,0.784,0.522,-7.057,0.155,0.0913,2.43e-05,0.139,0.436,95.047,146573,5,4lsNo2CCp2dUbsuOmdCj5I,Say My Name
66,0.869,0.68,-6.233,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,268400,1,75IN3CtuZwTHTnZvYM4qnJ,Telephone
67,0.936,0.878,-2.798,0.0723,0.0283,2.31e-06,0.0689,0.902,126.992,227032,2,1CDQzbCz4KSQxHe7LMEgRM,Madonna
68,0.781,0.853,-3.68,0.0714,0.0526,0.0,0.12,0.626,110.046,250189,2,48RrDBpOSSl1aLVCalGl5C,If I Were a Boy
69,0.901,0.813,-4.509,0.199,0.0325,1.09e-05,0.144,0.502,96.442,251720,2,0x60P5taxdI5pcGbqbap6S,Fotzen im Club
70,0.75,0.789,-5.058,0.0647,0.0148,0.0,0.501,0.467,135.954,269573,1,3kpYJjvM8Ja6btr5hEJLWc,Sweet Dreams
71,0.668,0.824,-4.164,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,339547,1,3CpoeW0cZSDzIRv5z34F87,Telephone
72,0.748,0.749,-5.916,0.516,0.142,0.0,0.0713,0.659,90.09,221013,2,1cS0TgbR263ey9jn0MwD2s,Drunk in Love (feat. Jay-Z)
73,0.749,0.794,-5.063,0.064,0.0193,0.0,0.543,0.46,135.959,269554,1,2SL6oP2YAEQbqsrkOzRGO4,03' Bonnie & Clyde
74,0.772,0.821,-0.14,0.25,0.223,0.0,0.148,0.77,91.921,244200,2,1SWVDBtw6h3tm9OehOkDhv,Sweet Dreams
75,0.618,0.746,-5.476,0.352,0.0553,0.0,0.273,0.75,75.272,281320,1,4CDIEKHMb2MBgvgHBkhiJD,07-Nov
76,0.911,0.644,-3.237,0.061,0.00271,0.0,0.234,0.665,112.252,290120,1,2YaiY5Cr8IFv0X0YRZDNzV,Freedom (feat. Kendrick Lamar)
77,0.924,0.74,-1.299,0.0774,0.0827,0.0,0.163,0.621,133.974,222293,2,7iXF2W9vKmDoGAhlHdpyIa,Partition
78,0.918,0.586,-2.89,0.133,0.0783,0.0,0.145,0.779,95.517,288200,1,7lgvU7WnwcNZ8dbGUz8yhP,Crazy In Love - Remix
79,0.74,0.94,-4.195,0.285,0.125,8.33e-05,0.132,0.489,89.981,359400,1,5NmL2zxnlt9GiTB2TQbvFM,PURE/HONEY
80,0.577,0.657,-6.486,0.129,0.697,3.2e-06,0.116,0.437,180.727,230199,2,4HMUrFl8y6rQCzEbaGEkcj,200 km/h
81,0.574,0.439,-10.311,0.2,0.511,0.0,0.71,0.395,78.302,297668,1,6uMGHQvhZq8YyT4kdnG1L3,Naughty Girl (feat. Lil' Kim)
82,0.908,0.758,-4.753,0.174,0.0687,0.0,0.0783,0.87,148.015,297840,1,7BMO7O7ImjV8HNTH74Tshv,Irreplaceable
83,0.692,0.744,-4.565,0.257,0.00868,0.000423,0.359,0.0612,171.374,326467,1,5Z01UMMf7V1o0MzF86s6WJ,Coco Chanel
84,0.777,0.716,-5.327,0.347,0.294,0.0,0.665,0.593,95.756,159787,5,5CsDo9j3N4yFZNCN1h9loS,Berlin City Girl
85,0.916,0.855,-5.006,0.209,0.208,0.0,0.0935,0.571,104.307,185457,0,7gXM8fCGg0SmRzAVySp3ie,TEXAS HOLD 'EM
86,0.889,0.512,-6.936,0.209,0.128,0.0,0.267,0.245,130.009,148547,5,5shgHEo8Zgm94sjr6BYTUq,Ella
87,0.824,0.878,-5.02,0.273,0.169,0.0,0.369,0.645,100.005,298385,1,7I3RalBqE7ZE0RSxgGlGlm,AMERICA HAS A PROBLEM
88,0.921,0.881,-2.753,0.067,0.0283,5.71e-06,0.0595,0.914,127.018,227239,2,6vw2M02LT3otGUoK4ZqHwx,BREAK MY SOUL
89,0.823,0.829,-5.524,0.292,0.392,0.0,0.543,0.6,80.538,230358,2,21LCotDEwR7R8qOnqPVzi9,Say My Name
90,0.808,0.705,-5.332,0.298,0.368,0.0,0.907,0.656,119.977,206649,0,77pfjsq0gSZwO8bYVTVROo,Partition
91,0.963,0.643,-5.785,0.117,0.0507,4.94e-05,0.157,0.534,107.005,274440,1,0fGh0trRN1xz3s41r7V5ce,DELRESTO (ECHOES) (feat. Beyoncé)
92,0.937,0.615,-6.521,0.061,0.0806,0.0,0.0602,0.771,104.482,283693,1,2WXUcFnJPPATncUkPYC54v,Madonna
93,0.562,0.901,-4.166,0.443,0.0695,0.0,0.229,0.241,199.226,98153,4,55u5QIlEuzCipJBtZPdJio,ALIEN SUPERSTAR
94,0.773,0.597,-7.138,0.309,0.194,0.0,0.22,0.305,160.101,217527,2,4qmG24ebshLXtKu9HIShBP,Runnin' (Lose It All)
95,0.667,0.66,-9.054,0.148,0.263,0.0,0.145,0.216,139.117,284904,1,1ymWIr4E5x6xORlDO0bXlP,Feeling Myself
96,0.849,0.704,-6.036,0.207,0.0592,0.0,0.0965,0.0978,137.999,290422,1,2By3Bbd6UYQqdhLnkMHZb6,Breaking your heart
97,0.893,0.651,-8.647,0.367,0.0995,0.0,0.371,0.6,105.835,253580,2,1jo3TwNGCXfNdB5uba3ZVv,Flawless Remix (feat. Nicki Minaj)
98,0.73,0.785,-7.986,0.243,0.105,0.0,0.0445,0.596,82.037,215120,2,7My9ca9QEIR8MvIOdIrTWA,Schwarzes Herz
99,0.847,0.692,-6.022,0.206,0.064,0.0,0.0966,0.101,137.997,290422,1,68IkI6ttYOzNyS5iW2Zx70,Perfect Duet (Ed Sheeran & Beyoncé)
100,0.778,0.824,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,218093,2,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean)
101,0.842,0.745,-4.231,0.0399,0.281,2.61e-05,0.118,0.53,122.06,214945,2,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53"
102,0.794,0.832,-4.862,0.0407,0.237,1.14e-05,0.203,0.871,107.657,196160,0,2lnzGkdtDj5mtlcOW2yRtG,"Whenever, Wherever"
103,0.71,0.871,-5.037,0.0503,0.0116,3e-06,0.108,0.829,126.957,183947,0,63Tl9k1sH8tznn3bqoMuyF,Waka Waka (This Time for Africa) - K-Mix
104,0.79,0.832,-5.291,0.103,0.0996,0.0,0.763,0.623,99.502,149577,5,1zCQXSnLkfXq3TzMLr6pWf,Shakira!
105,0.764,0.887,-6.088,0.176,0.00987,0.0,0.0585,0.816,126.974,202467,0,2RB1n3NWUmG5X0rdihAQ3e,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
106,0.852,0.773,-2.921,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195840,0,6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma)
107,0.783,0.806,-5.449,0.0763,0.179,0.000113,0.341,0.576,127.98,197680,0,2A17TySL9lcoRTA28w9yfB,La La La (Brazil 2014) (feat. Carlinhos Brown)
108,0.732,0.872,-5.77,0.0481,0.000869,0.906,0.151,0.483,124.971,141600,5,4k6yBchqc9UU6l8H8wTfAp,Shakira Shakira
109,0.587,0.647,-3.385,0.327,0.619,0.0,0.106,0.686,90.123,197933,0,0DWdj2oZMBFSzRsi2Cvfzf,TQG
110,0.694,0.81,-3.556,0.0661,0.122,0.0,0.141,0.824,137.968,206867,0,2Sh4sAOfnSHEVKFyysxzat,Can't Remember to Forget You (feat. Rihanna)
111,0.694,0.81,-3.556,0.0661,0.122,0.0,0.141,0.824,137.968,206867,0,7o1Pm9jpH0wFpN5g793Lnq,Can't Remember to Forget You (feat. Rihanna)
112,0.697,0.91,-3.92,0.247,0.00271,0.0,0.147,0.623,127.031,201773,0,1ZlHr9FYHT7YTbXCoxPq5C,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
113,0.8,0.874,-3.955,0.0667,0.186,1.77e-05,0.0877,0.85,112.003,193160,0,6YMPu36VGIknb8Ey1ohW3j,Loca (feat. Dizzee Rascal)
114,0.704,0.598,-4.922,0.0309,0.0283,0.0,0.106,0.472,115.483,196707,0,4DEuHSNytLmOz75w8vFpga,"Try Everything - aus ""Zoomania"""
115,0.865,0.69,-7.448,0.0443,0.285,0.0162,0.225,0.867,121.983,188867,0,4cS2HQ6jK80vqdY9ofpztx,She Wolf
116,0.841,0.752,-4.735,0.105,0.167,0.00046,0.949,0.67,100.076,214643,2,3OJDtCdYs8QJnui708tEU3,Soltera
117,0.8,0.692,-5.57,0.0614,0.342,1.92e-06,0.0554,0.917,112.002,183693,0,42k1KeBehAd83lrGt1okiC,Loca (feat. El Cata)
118,0.705,0.609,-4.897,0.0307,0.0257,0.0,0.0846,0.476,115.474,196853,0,4XAOFJ9F10fdu3mVdqlUFd,Try Everything
119,0.765,0.754,-3.736,0.0764,0.0053,0.000286,0.157,0.404,91.973,199840,0,76Y07hjDi7fjJnZKsQbEaF,Beautiful Liar
120,0.799,0.748,-5.128,0.0894,0.0975,1.67e-05,0.092,0.617,128.021,186333,0,0F6thtSISbps8VCdF6dhSk,La La La
121,0.74,0.783,-5.367,0.0427,0.0297,0.000308,0.123,0.812,100.011,212893,0,5BSclXJTa9B0iURhUjZo50,La Tortura (feat. Alejandro Sanz)
122,0.965,0.485,-8.784,0.191,0.0206,0.0237,0.0655,0.312,124.025,222523,2,1zLBsSVxETQOfINOLYvT5m,GIRL LIKE ME
123,0.816,0.875,-4.821,0.0311,0.203,0.0,0.209,0.491,131.958,196364,0,0gYXw7aPoybWFfB7btQ0eM,DON'T YOU WORRY
124,0.834,0.823,-4.918,0.114,0.062,0.0,0.185,0.763,133.039,170600,5,2Xh7dyCHCErCv3PmdVEGw4,Rabiosa (feat. Pitbull)
125,0.616,0.597,-5.328,0.0415,0.691,0.0,0.104,0.362,165.508,224067,2,15f8Cv8RXUlOOCIf2oaceN,Underneath Your Clothes
126,0.745,0.944,-3.959,0.134,0.21,1.45e-06,0.333,0.951,179.991,229510,2,0Gx4VrHzS7pZOEAGrmXXBH,La Bicicleta
127,0.764,0.887,-6.088,0.176,0.00987,0.0,0.0585,0.817,126.974,202467,0,3bnlKtMaT1JenMM90AkgmN,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
128,0.873,0.695,-4.207,0.0459,0.419,1.23e-06,0.211,0.823,131.963,158805,5,6G12ZafqofSq7YtrMqUm76,Monotonía
129,0.891,0.809,-5.753,0.0756,0.0407,0.136,0.0743,0.967,126.023,147480,5,4zy1s9GnxWsNzZp1688euA,Addicted to You
130,0.602,0.864,-5.282,0.0661,0.0149,0.0,0.0246,0.71,179.391,222533,2,36YNa8joLwu9yor2TkZbIY,Objection (Tango)
131,0.766,0.822,-4.126,0.16,0.39,3.37e-05,0.349,0.881,165.842,231921,2,7DrluKkTviBwCc8AV3VGmf,Clandestino
132,0.795,0.819,-4.933,0.0433,0.184,0.0013,0.346,0.613,127.984,197627,0,6i2kn3iS5WKzsaYBdeHLIQ,La La La (Brasil 2014) (feat. Carlinhos Brown)
133,0.736,0.964,-2.147,0.129,0.198,2.32e-06,0.336,0.953,179.935,227707,2,0sXvAOmXgjR2QUqLK1MltU,La Bicicleta
